"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 1, Atlantic County, New Jersey","1",858,118,53,2142,5,15,4,47,2142,153000,2142,46,NA,NA
"Census Tract 1, Essex County, New Jersey","1",1143,474,286,6872,102,82,0,0,6872,232700,6872,113,NA,NA
"Census Tract 1, Hudson County, New Jersey","1",521,1152,202,6278,42,51,0,0,6278,344900,6278,108,NA,NA
"Census Tract 1, Mercer County, New Jersey","1",940,185,111,3281,0,15,0,32,3281,94600,3281,13,NA,NA
"Census Tract 1, Middlesex County, New Jersey","1",485,1106,499,7633,20,297,11,36,7633,325000,7633,264,NA,NA
"Census Tract 10, Bergen County, New Jersey","10",109,1892,235,6762,28,184,10,67,6664,710600,6762,204,NA,NA
"Census Tract 10, Essex County, New Jersey","10",1004,267,125,3647,0,0,0,29,3139,169900,3647,23,NA,NA
"Census Tract 10, Hudson County, New Jersey","10",248,503,74,1964,10,7,3,46,1964,362500,1964,35,NA,NA
"Census Tract 10, Mercer County, New Jersey","10",957,120,96,2722,0,102,0,90,2534,91300,2722,10,NA,NA
"Census Tract 10.01, Middlesex County, New Jersey","10.01",50,546,89,2544,4,0,102,0,2544,352700,2544,89,NA,NA
"Census Tract 10.02, Middlesex County, New Jersey","10.02",116,1270,191,7538,41,239,59,92,7320,333900,7538,141,NA,NA
"Census Tract 100, Essex County, New Jersey","100",171,378,263,2961,19,54,100,0,2920,242100,2961,66,NA,NA
"Census Tract 101, Bergen County, New Jersey","101",266,1297,224,5883,0,0,37,0,5883,369100,5883,226,NA,NA
"Census Tract 101, Essex County, New Jersey","101",294,316,137,2745,32,0,30,0,2745,211800,2745,32,NA,NA
"Census Tract 101, Hudson County, New Jersey","101",831,1150,245,6927,56,72,26,56,6927,317400,6927,92,NA,NA
"Census Tract 101, Hunterdon County, New Jersey","101",55,1469,174,5830,62,0,77,0,5830,672300,5830,386,NA,NA
"Census Tract 101.01, Atlantic County, New Jersey","101.01",196,436,227,3154,33,0,53,52,3154,335700,3154,119,NA,NA
"Census Tract 101.01, Cumberland County, New Jersey","101.01",105,214,106,2638,46,0,0,21,2481,155700,2638,43,NA,NA
"Census Tract 101.02, Atlantic County, New Jersey","101.02",213,376,131,1813,42,29,84,55,1807,484400,1813,35,NA,NA
"Census Tract 101.03, Cumberland County, New Jersey","101.03",0,114,225,5066,0,0,0,0,0,NA,5066,0,NA,NA
"Census Tract 101.04, Atlantic County, New Jersey","101.04",57,272,173,1415,13,6,22,22,1415,364200,1415,86,NA,NA
"Census Tract 101.05, Atlantic County, New Jersey","101.05",416,592,125,2584,19,0,0,8,2584,305200,2584,115,NA,NA
"Census Tract 102, Atlantic County, New Jersey","102",104,835,447,5866,0,0,58,0,5729,207900,5866,77,NA,NA
"Census Tract 102, Bergen County, New Jersey","102",237,831,134,4457,11,0,17,40,4457,356300,4457,165,NA,NA
"Census Tract 102, Cumberland County, New Jersey","102",892,313,188,5026,32,21,0,53,5026,132100,5026,72,NA,NA
"Census Tract 102, Essex County, New Jersey","102",309,399,198,4552,21,54,0,62,4361,232700,4552,53,NA,NA
"Census Tract 102, Hudson County, New Jersey","102",274,627,56,2970,0,52,34,43,2970,339200,2970,47,NA,NA
"Census Tract 102, Hunterdon County, New Jersey","102",212,1795,336,7326,47,25,72,0,7259,357200,7326,402,NA,NA
"Census Tract 103, Atlantic County, New Jersey","103",432,211,194,2423,16,15,4,5,2423,173000,2423,67,NA,NA
"Census Tract 103, Bergen County, New Jersey","103",419,1357,286,7354,0,0,111,0,7354,366800,7354,137,NA,NA
"Census Tract 103, Essex County, New Jersey","103",612,324,105,3461,44,0,36,84,3262,186000,3461,68,NA,NA
"Census Tract 103, Hudson County, New Jersey","103",840,468,23,3085,0,30,9,0,3085,281400,3085,91,NA,NA
"Census Tract 103, Hunterdon County, New Jersey","103",234,544,189,2809,49,96,27,7,2794,244200,2809,152,NA,NA
"Census Tract 103.01, Cumberland County, New Jersey","103.01",458,171,191,3178,16,0,18,0,3178,172900,3178,62,NA,NA
"Census Tract 103.02, Cumberland County, New Jersey","103.02",149,75,66,1177,12,18,0,2,1177,147300,1177,45,NA,NA
"Census Tract 104, Essex County, New Jersey","104",647,468,172,4577,0,78,245,181,4577,265500,4577,51,NA,NA
"Census Tract 104, Hudson County, New Jersey","104",379,856,165,4341,0,145,0,174,4341,321600,4341,76,NA,NA
"Census Tract 104, Hunterdon County, New Jersey","104",151,1106,242,4626,123,39,80,0,4626,378700,4626,209,NA,NA
"Census Tract 104.01, Atlantic County, New Jersey","104.01",113,846,474,5878,34,17,0,237,5841,245800,5878,244,NA,NA
"Census Tract 104.01, Cumberland County, New Jersey","104.01",674,322,186,5067,35,30,55,11,5067,158800,5067,139,NA,NA
"Census Tract 104.02, Cumberland County, New Jersey","104.02",0,33,26,1091,0,0,0,0,0,NA,1091,0,NA,NA
"Census Tract 104.03, Atlantic County, New Jersey","104.03",392,959,439,7138,59,332,0,0,6699,199900,7138,139,NA,NA
"Census Tract 105, Cumberland County, New Jersey","105",140,198,157,1661,19,22,3,0,1661,194400,1661,73,NA,NA
"Census Tract 105, Essex County, New Jersey","105",936,270,161,4878,0,82,0,75,4860,209200,4878,95,NA,NA
"Census Tract 105, Hudson County, New Jersey","105",555,1059,170,5384,61,21,0,68,5384,336800,5384,247,NA,NA
"Census Tract 105, Hunterdon County, New Jersey","105",199,979,196,5157,0,0,34,0,5157,326500,5157,274,NA,NA
"Census Tract 105.01, Atlantic County, New Jersey","105.01",306,1217,700,6870,151,0,88,350,6870,213000,6870,300,NA,NA
"Census Tract 105.03, Atlantic County, New Jersey","105.03",1101,944,435,7454,18,214,215,84,7454,178700,7454,310,NA,NA
