"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 1, Atlantic County, New Jersey","1",605,105,155,2543,0,0,4,16,2543,227000,2543,46,NA,NA,NA
"Census Tract 1, Essex County, New Jersey","1",854,606,198,6288,0,0,0,11,6288,294100,6288,67,NA,NA,NA
"Census Tract 1, Hudson County, New Jersey","1",823,893,149,6631,75,34,37,144,6631,317500,6631,303,NA,NA,NA
"Census Tract 1, Mercer County, New Jersey","1",826,101,74,2999,8,38,0,0,2999,89800,2999,25,NA,NA,NA
"Census Tract 1, Middlesex County, New Jersey","1",24,1070,320,7307,0,16,0,0,7307,345200,7307,256,NA,NA,NA
"Census Tract 10, Bergen County, New Jersey","10",102,1689,265,6549,4,0,8,0,6315,695100,6549,326,NA,NA,NA
"Census Tract 10, Essex County, New Jersey","10",1124,175,92,3708,7,68,7,32,2983,303900,3708,56,NA,NA,NA
"Census Tract 10, Hudson County, New Jersey","10",240,379,74,2016,18,0,0,9,2016,274000,2016,78,NA,NA,NA
"Census Tract 10, Mercer County, New Jersey","10",1145,135,130,2700,0,0,0,0,2508,137500,2700,49,NA,NA,NA
"Census Tract 10.01, Middlesex County, New Jersey","10.01",0,492,246,2564,19,0,11,0,2564,368700,2564,85,NA,NA,NA
"Census Tract 10.02, Middlesex County, New Jersey","10.02",400,1162,240,6821,13,168,0,210,6585,317300,6821,234,NA,NA,NA
"Census Tract 100, Essex County, New Jersey","100",276,254,142,2485,37,0,0,38,2470,264900,2485,62,NA,NA,NA
"Census Tract 101, Bergen County, New Jersey","101",169,1197,233,6014,0,0,0,75,6014,380300,6014,241,NA,NA,NA
"Census Tract 101, Essex County, New Jersey","101",263,176,173,2512,40,30,9,0,2512,246000,2512,40,NA,NA,NA
"Census Tract 101, Hudson County, New Jersey","101",498,1087,170,5424,0,24,66,35,5424,354600,5424,140,NA,NA,NA
"Census Tract 101, Hunterdon County, New Jersey","101",79,1316,188,5949,116,53,0,0,5949,633200,5949,443,NA,NA,NA
"Census Tract 101.01, Atlantic County, New Jersey","101.01",223,659,190,3415,26,82,24,0,3415,407300,3415,205,NA,NA,NA
"Census Tract 101.01, Cumberland County, New Jersey","101.01",376,425,132,4302,0,17,35,0,3996,173800,4302,74,NA,NA,NA
"Census Tract 101.02, Atlantic County, New Jersey","101.02",197,281,95,1850,39,101,51,6,1850,536100,1850,46,NA,NA,NA
"Census Tract 101.03, Cumberland County, New Jersey","101.03",0,76,71,3663,0,0,0,0,0,NA,3663,0,NA,NA,NA
"Census Tract 101.04, Atlantic County, New Jersey","101.04",217,316,162,1616,40,269,29,9,1594,386200,1616,64,NA,NA,NA
"Census Tract 101.05, Atlantic County, New Jersey","101.05",229,385,167,2741,6,10,0,203,2741,388100,2741,115,NA,NA,NA
"Census Tract 102, Atlantic County, New Jersey","102",374,815,373,5782,10,23,0,76,5639,254200,5782,192,NA,NA,NA
"Census Tract 102, Bergen County, New Jersey","102",296,803,86,4291,0,0,18,49,4291,356200,4291,157,NA,NA,NA
"Census Tract 102, Cumberland County, New Jersey","102",1147,155,128,5195,58,31,0,0,5195,124200,5195,101,NA,NA,NA
"Census Tract 102, Essex County, New Jersey","102",550,585,164,4848,21,35,7,32,4779,245000,4848,82,NA,NA,NA
"Census Tract 102, Hudson County, New Jersey","102",358,471,83,3027,0,36,0,39,3027,333800,3027,100,NA,NA,NA
"Census Tract 102, Hunterdon County, New Jersey","102",351,1469,476,7829,139,125,40,36,7650,423000,7829,442,NA,NA,NA
"Census Tract 103, Atlantic County, New Jersey","103",252,206,302,2587,0,17,0,0,2587,225700,2587,68,NA,NA,NA
"Census Tract 103, Bergen County, New Jersey","103",228,1315,264,7200,87,16,62,0,7200,392600,7200,192,NA,NA,NA
"Census Tract 103, Essex County, New Jersey","103",1016,278,182,3682,0,77,9,37,3502,244700,3682,20,NA,NA,NA
"Census Tract 103, Hudson County, New Jersey","103",428,428,66,2839,0,39,17,18,2839,337500,2839,54,NA,NA,NA
"Census Tract 103, Hunterdon County, New Jersey","103",171,526,163,3036,27,180,6,33,2978,245500,3036,95,NA,NA,NA
"Census Tract 103.01, Cumberland County, New Jersey","103.01",268,237,137,3268,0,0,0,8,3268,190300,3268,109,NA,NA,NA
"Census Tract 103.02, Cumberland County, New Jersey","103.02",261,104,93,1374,3,0,0,0,1368,160300,1374,45,NA,NA,NA
"Census Tract 104, Essex County, New Jersey","104",830,394,473,4850,17,152,0,335,4840,160900,4850,108,NA,NA,NA
"Census Tract 104, Hudson County, New Jersey","104",245,1002,168,5056,26,0,0,100,5056,355400,5056,69,NA,NA,NA
"Census Tract 104, Hunterdon County, New Jersey","104",208,807,234,4694,17,0,34,0,4694,409200,4694,357,NA,NA,NA
"Census Tract 104.01, Atlantic County, New Jersey","104.01",275,699,330,5445,14,115,19,195,5445,308400,5445,325,NA,NA,NA
"Census Tract 104.01, Cumberland County, New Jersey","104.01",785,275,206,6426,12,6,23,1,5120,150900,6426,149,NA,NA,NA
"Census Tract 104.02, Cumberland County, New Jersey","104.02",0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA
"Census Tract 104.03, Atlantic County, New Jersey","104.03",500,922,187,6403,0,14,51,0,6169,250900,6403,153,NA,NA,NA
"Census Tract 105, Cumberland County, New Jersey","105",195,279,144,2338,3,13,15,0,2338,227000,2338,159,NA,NA,NA
"Census Tract 105, Essex County, New Jersey","105",1024,368,215,4488,14,84,0,14,4471,287500,4488,61,NA,NA,NA
"Census Tract 105, Hudson County, New Jersey","105",373,1055,177,4901,9,21,0,17,4901,341000,4901,173,NA,NA,NA
"Census Tract 105, Hunterdon County, New Jersey","105",73,857,174,5274,0,0,49,0,5274,370900,5274,273,NA,NA,NA
"Census Tract 105.01, Atlantic County, New Jersey","105.01",443,1099,329,6897,11,0,48,62,6897,257700,6897,333,NA,NA,NA
"Census Tract 105.03, Atlantic County, New Jersey","105.03",1024,717,366,7501,65,72,54,27,7469,171800,7501,223,NA,NA,NA
"Census Tract 105.05, Atlantic County, New Jersey","105.05",30,317,156,2717,0,0,24,21,2702,256900,2717,134,NA,NA,NA
"Census Tract 105.06, Atlantic County, New Jersey","105.06",22,647,243,4906,61,0,11,0,4906,263900,4906,136,NA,NA,NA
"Census Tract 106, Atlantic County, New Jersey","106",841,227,212,4279,12,0,17,38,4225,191900,4279,67,NA,NA,NA
"Census Tract 106, Cumberland County, New Jersey","106",283,521,370,5190,0,0,52,41,5024,189100,5190,308,NA,NA,NA
"Census Tract 106, Essex County, New Jersey","106",1501,179,164,4160,0,56,0,107,4160,164100,4160,115,NA,NA,NA
"Census Tract 106, Hudson County, New Jersey","106",1277,957,287,6343,0,27,13,0,6343,344500,6343,190,NA,NA,NA
"Census Tract 106, Hunterdon County, New Jersey","106",72,1136,432,6066,63,0,115,30,6030,418900,6066,439,NA,NA,NA
"Census Tract 107, Atlantic County, New Jersey","107",550,496,192,6154,44,0,103,0,6141,232300,6154,222,NA,NA,NA
