full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 1, Atlantic County, New Jersey",1,807,90,100,2290,0,0,8,45,2286,226900,2290,45,21,4,
"Census Tract 1, Essex County, New Jersey",1,1261,588,163,6281,76,0,0,11,6281,247800,6281,110,18,11,
"Census Tract 1, Hudson County, New Jersey",1,634,809,243,7100,104,84,11,142,7100,266600,7100,244,14,7,
"Census Tract 1, Mercer County, New Jersey",1,896,260,53,3228,12,27,0,0,3228,84200,3228,32,28,4,
"Census Tract 1, Middlesex County, New Jersey",1,94,1338,354,7390,0,79,0,57,7390,327600,7390,235,16,6,
"Census Tract 10, Bergen County, New Jersey",10,308,1738,336,6666,17,0,48,0,6541,656300,6666,268,20,4,
"Census Tract 10, Essex County, New Jersey",10,988,211,42,3405,17,16,8,25,2817,217200,3405,40,18,11,
"Census Tract 10, Hudson County, New Jersey",10,426,412,77,2020,24,0,0,54,2020,317600,2020,87,14,4,
"Census Tract 10, Mercer County, New Jersey",10,989,159,132,2910,0,0,20,66,2712,111400,2910,70,28,1,
"Census Tract 10.01, Middlesex County, New Jersey",10.01,0,503,168,2601,27,0,13,0,2601,342100,2601,97,16,14,
"Census Tract 10.02, Middlesex County, New Jersey",10.02,455,1411,156,7045,62,210,28,82,6810,324900,7045,89,16,14,
"Census Tract 100, Essex County, New Jersey",100,299,144,194,2525,37,10,7,28,2494,237300,2525,88,18,6,
"Census Tract 101, Bergen County, New Jersey",101,120,1239,266,5965,0,0,63,92,5965,371900,5965,230,20,5,
"Census Tract 101, Essex County, New Jersey",101,388,237,218,2912,81,29,4,0,2912,225500,2912,59,18,6,
"Census Tract 101, Hudson County, New Jersey",101,709,1051,135,5851,0,93,63,19,5851,323400,5851,176,14,11,
"Census Tract 101, Hunterdon County, New Jersey",101,82,1387,213,5942,142,39,0,0,5942,597000,5942,292,12,6,
"Census Tract 101.01, Atlantic County, New Jersey",101.01,211,639,147,3463,48,88,30,35,3463,351100,3463,110,21,2,
"Census Tract 101.01, Cumberland County, New Jersey",101.01,286,314,185,3924,14,14,42,0,3541,176100,3924,58,18,3,
"Census Tract 101.02, Atlantic County, New Jersey",101.02,192,383,117,1878,62,135,63,40,1878,488100,1878,47,21,2,
"Census Tract 101.03, Cumberland County, New Jersey",101.03,0,74,117,4061,0,0,0,0,0,NA,4061,0,18,5,
"Census Tract 101.04, Atlantic County, New Jersey",101.04,295,272,102,1570,15,206,52,13,1570,365900,1570,71,21,2,
"Census Tract 101.05, Atlantic County, New Jersey",101.05,414,483,184,2509,0,16,0,8,2509,362900,2509,95,21,2,
"Census Tract 102, Atlantic County, New Jersey",102,323,901,345,5907,10,0,0,0,5767,231600,5907,207,21,6,
"Census Tract 102, Bergen County, New Jersey",102,348,767,140,4498,0,0,33,53,4498,349400,4498,154,20,5,
"Census Tract 102, Cumberland County, New Jersey",102,1293,119,151,5166,38,44,11,0,5166,135700,5166,92,18,3,
"Census Tract 102, Essex County, New Jersey",102,549,447,272,4923,0,84,14,115,4773,224700,4923,116,18,6,
"Census Tract 102, Hudson County, New Jersey",102,449,452,67,3178,0,42,10,14,3178,336900,3178,91,14,11,
"Census Tract 102, Hunterdon County, New Jersey",102,317,1319,528,7752,133,113,37,43,7631,392000,7752,444,12,7,
"Census Tract 103, Atlantic County, New Jersey",103,271,190,227,2493,5,24,0,0,2493,198800,2493,92,21,6,
"Census Tract 103, Bergen County, New Jersey",103,168,1344,253,7243,53,12,125,0,7243,365200,7243,161,20,5,
"Census Tract 103, Essex County, New Jersey",103,993,291,253,4144,14,66,11,21,3945,221100,4144,80,18,6,
"Census Tract 103, Hudson County, New Jersey",103,361,433,23,2744,0,0,12,9,2744,310000,2744,24,14,16,
"Census Tract 103, Hunterdon County, New Jersey",103,143,539,146,2707,54,79,3,13,2681,222500,2707,111,12,7,
"Census Tract 103.01, Cumberland County, New Jersey",103.01,495,227,160,3301,0,0,0,8,3301,186800,3301,66,18,6,
"Census Tract 103.02, Cumberland County, New Jersey",103.02,165,87,83,1411,9,7,0,0,1406,153600,1411,57,18,6,
"Census Tract 104, Essex County, New Jersey",104,710,248,276,4750,14,89,0,172,4750,174100,4750,60,18,1,
"Census Tract 104, Hudson County, New Jersey",104,374,972,96,4949,21,67,0,106,4949,356100,4949,79,14,11,
"Census Tract 104, Hunterdon County, New Jersey",104,253,1007,315,4710,22,0,5,3,4710,383900,4710,293,12,5,
"Census Tract 104.01, Atlantic County, New Jersey",104.01,291,685,263,5325,27,108,15,149,5325,265700,5325,242,21,7,
"Census Tract 104.01, Cumberland County, New Jersey",104.01,850,332,196,5200,19,23,35,1,5191,150900,5200,123,18,6,
"Census Tract 104.02, Cumberland County, New Jersey",104.02,0,15,9,1304,0,0,0,0,0,NA,1304,0,18,2,
"Census Tract 104.03, Atlantic County, New Jersey",104.03,969,1010,167,6937,0,23,41,0,6575,250900,6937,98,21,2,
"Census Tract 105, Cumberland County, New Jersey",105,135,249,168,2326,6,15,9,0,2326,207400,2326,121,18,6,
"Census Tract 105, Essex County, New Jersey",105,984,375,224,4191,25,24,0,111,4191,224400,4191,84,18,6,
"Census Tract 105, Hudson County, New Jersey",105,359,834,105,4675,13,5,0,17,4675,358800,4675,110,14,11,
"Census Tract 105, Hunterdon County, New Jersey",105,98,993,179,5243,0,0,0,0,5243,369100,5243,333,12,1,
