full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 1, Atlantic County, New Jersey",1.0,875,135,63,2323,4,10,5,43,2318,187500.0,2323,55,21,4,21.158676923076925
"Census Tract 1, Essex County, New Jersey",1.0,1331,551,203,6443,109,0,0,11,6443,230200.0,6443,99,18,11,27.36515384615385
"Census Tract 1, Hudson County, New Jersey",1.0,702,919,358,6581,37,96,11,117,6581,293300.0,6581,173,14,7,34.249692307692314
"Census Tract 1, Mercer County, New Jersey",1.0,797,251,41,3225,0,25,0,28,3225,90500.0,3225,24,28,4,11.030615384615386
"Census Tract 1, Middlesex County, New Jersey",1.0,769,1241,431,8159,0,391,13,67,8159,321900.0,8159,194,16,6,37.97467692307693
"Census Tract 10, Bergen County, New Jersey",10.0,189,1858,273,6767,14,62,40,68,6659,680000.0,6767,281,20,4,76.0438
"Census Tract 10, Essex County, New Jersey",10.0,1100,232,86,3506,12,5,0,10,2998,211500.0,3506,14,18,11,24.114000000000004
"Census Tract 10, Hudson County, New Jersey",10.0,334,472,59,2056,30,12,1,53,2056,288500.0,2056,45,14,4,31.933584615384625
"Census Tract 10, Mercer County, New Jersey",10.0,739,147,135,2653,0,42,18,138,2453,117100.0,2653,0,28,1,13.656923076923077
"Census Tract 10.01, Middlesex County, New Jersey",10.01,20,540,94,2499,30,0,16,0,2499,338400.0,2499,50,16,14,37.444661538461546
"Census Tract 10.02, Middlesex County, New Jersey",10.02,263,1277,104,7467,71,83,91,24,7228,334500.0,7467,130,16,14,38.92153846153846
"Census Tract 100, Essex County, New Jersey",100.0,296,328,105,2870,58,34,7,0,2829,200000.0,2870,96,18,6,22.679323076923083
"Census Tract 101, Bergen County, New Jersey",101.0,101,1254,215,5864,0,0,61,30,5864,364200.0,5864,276,20,5,41.6133076923077
"Census Tract 101, Essex County, New Jersey",101.0,443,336,163,3118,29,15,6,0,3118,205400.0,3118,42,18,6,23.363769230769233
"Census Tract 101, Hudson County, New Jersey",101.0,1019,824,204,5915,37,73,69,32,5915,317400.0,5915,155,14,11,36.597461538461545
"Census Tract 101, Hunterdon County, New Jersey",101.0,69,1408,233,5873,65,0,42,0,5873,646700.0,5873,321,12,6,72.07447692307693
